id	filename	md5	size	state
a617cbf9-ce7a-4caf-987f-f7f08444f006	b50539eb-1a68-4e51-821d-d74ed8210b1e.mirbase21.mirnas.quantification.txt	1c94d3eb889d3d9d4e7ce15da7f32287	50165	released
2ce7891f-c003-483d-889d-866d590f02e4	2ce7891f-c003-483d-889d-866d590f02e4.vcf.gz	d5f13aac21e706f0c72bcb93a8116140	123661	released
0fbff110-413c-443d-aa0a-ee40f2cf2aab	TCGA-CZ-5457-01Z-00-DX1.87f21980-bf6b-4da6-ae8e-f7fef7396d52.svs	e89334f96a1ee4ffcb5223a19d83a785	1031744025	released
25e313bb-4111-4735-b714-31db930b651e	fa05d81a-6fe9-4fc4-adcd-8b7187d34b98_gdc_realn_rehead.bam	4ffd3c0989839ce9b61355d172601fc7	8272960900	released
4dadb4f5-0a64-4c7d-82a7-f566be936da0	5888070a-f5ae-4100-8c7c-9ca8d3fd74e0.mirbase21.isoforms.quantification.txt	432f848ee483eef8a28717ac2c5c610f	406527	released
36db33e9-015c-4604-9b2d-e407ee3fdb45	1d6cff50-efb5-47eb-90f7-f8641114226a_gdc_realn_rehead.bam	15e094984e0c6fbc70570082fdcd30a2	10682238425	released
6abc7d24-74d1-4e62-975c-753aec620201	6abc7d24-74d1-4e62-975c-753aec620201.vep.vcf.gz	52e95b37a80f4818ccbe4e8f8ab264f3	5091354	released
4042e63d-b143-4076-abee-9d6c7ec0a43e	DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H11_729468.grch38.seg.v2.txt	fa7ee59d49f447d7639fb97e33c2c83d	21763	released
c5e5fa7b-6a77-4de0-b0a9-36685707df60	nationwidechildrens.org_ssf.TCGA-BP-4174.xml	9824a8cddf0773a769ab4a101bc2152d	15866	released
bfc37606-f43c-469a-89e8-ea925ec610a3	cc6b01ca-abdf-439f-9355-a1a4b89e620d.mirbase21.isoforms.quantification.txt	53b1305fee9ec7094679fa6cadf8ae31	372121	released
ef76d294-4f2c-4714-adec-fed082a86d8b	ef76d294-4f2c-4714-adec-fed082a86d8b.vcf.gz	914782569a7b98b3681a2369a8bc7ac3	34335	released
fc5efe99-93c0-402c-bb2a-6091904c9a85	e364f945-5321-4a09-87ae-2b6eff25b7a6.mirbase21.mirnas.quantification.txt	81d2e7f4978bdd9d89cfe9f0a50cbeab	50084	released
9b75746f-f9ec-49c0-985e-bda5794ad47d	TCGA-KIRC.39fe3964-c78e-42b1-b006-418f69175a55.ascat2.allelic_specific.seg.txt	6be7a01291e920f9edae5609f73e862d	9082	released
eeef739f-f326-4138-bfd5-4665616f17c5	TCGA-CZ-5457-11A-01-TS1.57b6a44a-8253-47de-bee2-a35b9e3c833a.svs	a880615f6996af6c7b6cd3e0a9e23465	245271159	released
c72f8870-ca66-4594-8247-7d1c86f6715e	TCGA-AK-3445-01A-02-BS2.86dc84d2-c899-4ad6-a66a-84e046f0e0f6.svs	25a63a25b812891d8a4526b83e945c21	72482363	released
b9d2921f-0a44-485c-a0e9-7449e5ededdd	BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_G04_584938.nocnv_grch38.seg.v2.txt	e7239c0c6ab993d9ed5396b1df5b2952	16446	released
111097f2-39dc-4d29-80eb-b1610083584b	nationwidechildrens.org_ssf.TCGA-B0-5705.xml	6633484384093c68654cf4c566859856	15841	released
1f96abc7-4dd7-4672-ba37-463c2d0b6eac	TCGA-BP-4346-01Z-00-DX1.e2f7b4ce-fbe8-482e-822e-ef428731f68b.svs	6ba21d4e213e495c37b13677e8d75e85	877135130	released
d0929736-41ca-478d-ac4f-590f2c2f6489	C345.TCGA-CJ-6030-01A-11D-1669-08.6_gdc_realn.bam	cad5894512485da9fadca5600d248698	11520389741	released
e0444e7d-4c43-4928-b234-b04d66c61800	TCGA-KIRC.cecf40f8-7301-4db9-b276-a14317d4dd59.gene_level_copy_number.tsv	da675e598dc2a70f0cd8f48be4eaedc9	3482278	released
3475b1a1-e40f-4ce9-910b-a55d0cd89612	BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D07_777512.grch38.seg.v2.txt	6615f07cb6b5f96b809da511652c46e8	17053	released
464fab2c-184b-4367-a60d-9625d048f3b5	NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E12_730688.nocnv_grch38.seg.v2.txt	c90003b764613185a2f5fb7bdb8d7b3c	4709	released
94e23269-266e-4ec3-8481-eb5c1499730f	TCGA-B4-5378-01A-01-BS1.f26a3827-6af2-4dab-b881-2882a527e5e0.svs	008245af15249281345a2a245120089f	166608677	released
cfb00e91-52f3-49ab-bb40-773ab84c245a	cfb00e91-52f3-49ab-bb40-773ab84c245a.vcf.gz	e6baf834825bc079102b71f91c22c8d4	129532	released
6e2a1f4f-8772-4d85-b85f-19fff94e2e9e	TCGA-KIRC.84ef51f3-29bd-4c8d-be17-0930019f325c.ascat2.allelic_specific.seg.txt	a035d969d63e696023bf3a348f33fe64	8304	released
57084990-84c1-4d7d-bc45-d9983b6bade7	TCGA-BP-4329-01A-02-BS2.79ad9a9e-92e5-4f8d-9e6a-31feea84c4c3.svs	65e33fde60564ee5b4e909f67f93dc3c	264202101	released
28192657-58c4-4f3c-9454-9d85d8e581c7	TCGA-B0-5117-01A-01R-1419-13_mirna_gdc_realn.bam	d496cffd563831c129bc31e5c263df85	65384001	released
3b2943b9-fda2-44a6-a4e8-7510e68c3753	BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_E06_584928.nocnv_grch38.seg.v2.txt	cad90ebffacfdd05e70073c2915a824f	10615	released
6f774504-0e6a-43f9-9315-aab0739fe109	nationwidechildrens.org_biospecimen.TCGA-BP-4160.xml	d999054d226c9b88b28a7c71ea0d6fe1	86048	released
120e50ea-ffb6-4811-a274-85f8d0f8386e	REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E08_697630.nocnv_grch38.seg.v2.txt	f2ee56d87bfa54191f593d19ca3697ef	8674	released
5db44c21-9122-496e-b5cb-2d8b1ac44195	TCGA-KIRC.860e3ba7-9f73-447d-bdd7-e6c9aad57a25.gene_level_copy_number.tsv	5f0bdac5816b838b1d4b7c25146b4fa6	3482269	released
f89c4d9b-0bf4-4feb-ba92-8655f9c81e81	f89c4d9b-0bf4-4feb-ba92-8655f9c81e81.vep.vcf.gz	64a57775e7b03e7a014c84a408283f5e	248039	released
e901ef5e-eac7-4212-93ef-877bbdf98f98	3c29c361-a7c0-49ec-852b-57e460f07959.mirbase21.mirnas.quantification.txt	8b23d4ec7597cdb5a03d3deedbc71b0c	50115	released
d66994e3-9caf-424b-8429-349e4916f544	jhu-usc.edu_KIRC.HumanMethylation27.4.lvl-3.TCGA-BP-4781-11A-01D-1303-05.gdc_hg38.txt	d2c1a0f931e887c283c52f98fe736e87	9949128	released
81328ef6-bd63-4acc-ba66-34f39c92ec60	jhu-usc.edu_KIRC.HumanMethylation450.1.lvl-3.TCGA-B0-4690-01A-01D-1275-05.gdc_hg38.txt	5f5585ca188302a6a69d5c0328dbf3c7	141281178	released
634ea37e-d905-49b7-a4e4-535249e78a75	844c3f9a-c467-4858-a442-72604bc15935_gdc_realn_rehead.bam	6c906a7e3d86ccd81a7c95a9f9e80639	8308740247	released
9c9fb840-fe4a-486d-a520-e77a7b7eb2ce	jhu-usc.edu_KIRC.HumanMethylation450.5.lvl-3.TCGA-B0-5695-01A-11D-1536-05.gdc_hg38.txt	bcd35ebe2d2839ddf339073b8ba17cb9	141279244	released
3dfe4dfc-2a80-41aa-b953-228584d3eed5	TCGA-KIRC.0b3f3933-cdc3-4375-a494-933702c24bfe.ascat2.allelic_specific.seg.txt	26d4b01c9fad704ab9103e9fb6220a19	9567	released
4a0798f0-d16f-433a-b042-1f2706e2a9bd	4a0798f0-d16f-433a-b042-1f2706e2a9bd.vcf.gz	90e51cfcc656b360a3a558ceebfeb35b	214551	released
a33105b9-57b1-4804-b0cd-de6d490b4bd0	5a8f462d-a749-4542-bf02-f1350fb73599.FPKM.txt.gz	ec24168a5813860376a522bb890c4f65	513389	released
92ce35ad-0b23-4df9-82a3-95ebcaca47ec	TCGA-B0-4827-11A-01-TS1.30f7b8ce-2163-451b-803b-293c27646019.svs	e32943da7ab32caf02b2ffe3cafe553a	166142799	released
dc59034e-bc8f-4386-b881-747b9310cf1c	dc59034e-bc8f-4386-b881-747b9310cf1c.vep.vcf.gz	86e4e82c4672487d866bff740b056bd4	3694195	released
c20538df-8594-40c6-bcf2-0b2cb5aaefeb	bec75059-c8f8-4ca6-ac45-817b50707dcc_gdc_realn_rehead.bam	5ad00729094db4e000db81e13c7ab601	12892468424	released
a5ae88a0-6a7f-464b-9af9-45524f00e745	TCGA-B2-5633-01A-01D-A270-10_Illumina_gdc_realn.bam	a50dd7c00d2b3a49e221892ba4698ca1	18530502394	released
fbc4b6b6-1699-4195-9735-794bfe000b64	19d7080d-fadb-4f62-9571-f705bb07e747.mirbase21.isoforms.quantification.txt	bc42dce617c939f7ea9863a5461098e2	308033	released
5374aaf5-af17-428f-9779-4eb15afaadfc	jhu-usc.edu_KIRC.HumanMethylation27.2.lvl-3.TCGA-CJ-4634-01A-01D-1186-05.gdc_hg38.txt	7ac0abaea37f4f74bef2898b18be454b	9950422	released
1922d275-fdd3-4195-b8ea-98bec9d0bceb	TCGA-KIRC.f010b0c4-d9a5-49ef-b17c-1a16df46e8a9.ascat2.allelic_specific.seg.txt	a7aa1d4d2d018b23a987445cfd4db435	22500	released
c2b3f76b-b0af-4cd6-aa11-6f17de47c90a	TCGA-B0-5085-11A-01-TS1.5efb39fd-d6ff-4fae-8bce-35c3e842a7f7.svs	e501f4f0005603cc869e12bd5a86409d	134626543	released
539da52d-aa46-4e80-8e9d-57b3cfd1766f	TCGA-KIRC.781edd04-2fde-4923-8604-7bb2f48e900c.ascat2.allelic_specific.seg.txt	01da99fdcd4406c499cded11cec041c2	6854	released
dfed3e51-d3f9-46f7-8f2d-27f9a4aec111	TCGA-B2-4101-01A-02R-1276-13_mirna_gdc_realn.bam	9223bb75432d89d5e69f45e8e5b78a68	64804598	released
69c76067-aeb9-48a9-a1e7-016029742b01	NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H03_697832.grch38.seg.v2.txt	469711900b3462a7814addb1e2ca3fae	45088	released
6fbb4fa9-be4c-49b4-8378-63d45f2100ea	e9aa9cb2-b87f-4d1f-8627-11a1c1d900c7.FPKM-UQ.txt.gz	09c06e5c555fbff530b23ddac2159935	526146	released
69d58f23-ff0e-4808-8c6b-0c896caaa8bd	jhu-usc.edu_KIRC.HumanMethylation450.7.lvl-3.TCGA-DV-A4W0-01A-11D-A264-05.gdc_hg38.txt	a675e22cf290e73f598a67bb4a7998be	141297451	released
b11268a2-f289-4477-9ddb-6909c92e4243	MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G04_1320460.grch38.seg.v2.txt	ce0dca2d7359c78281981b3f9da64ccb	31774	released
94b8d7d5-3b42-4cdf-b605-a79344233c18	nationwidechildrens.org_biospecimen.TCGA-B0-4852.xml	32233923bbcdc4c5b5f226fe09e6dc1c	71914	released
039a5ad1-5cbd-4d3f-94f7-896854ea5379	TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G01_741994.grch38.seg.v2.txt	df2e9d3c19b63fac6fcb48cce28a0076	32880	released
a4dcd354-352a-41d6-8807-f60060a309a6	PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_D11_697396.nocnv_grch38.seg.v2.txt	ea7612a5f7c518089bda9ba471e46ad0	6656	released
0881fd53-6597-4c52-9243-a243c8de5d46	TCGA-KIRC.75b66b95-746c-4797-8990-d8f02911d90f.gene_level_copy_number.tsv	387701d78cf331289ce5895cf4c4e5c7	3482297	released
edafc5e4-cec8-47a0-930b-0e0ba40ae15a	TCGA-KIRC.46f0a3d4-140d-4063-851e-0700e8d6453c.ascat2.allelic_specific.seg.txt	844726c4c1a63aa80a563313c5130640	4975	released
2b057c77-df42-43ae-8368-c56fe39efd35	TCGA-CJ-4912-01A-01R-1425-13_mirna_gdc_realn.bam	843b2f106499eeb97c2e0a2216cb9e24	56508405	released
39ec7ba4-3a83-41b1-80b4-af4f50b21401	9d5c2ed8-443b-4c71-b5b2-d9fc98b322c0.htseq.counts.gz	161d0431b6e600021a1dade22708d1c9	255928	released
bbd91f13-51b7-41c7-820b-01e23387a151	2a2ff1f5-f471-4709-b106-ccb1ccd563d3.mirbase21.isoforms.quantification.txt	847073291073f9a1e36e8db8220f6db7	357615	released
504d100c-387d-45f7-ac08-c639c6acb620	TCGA-KIRC.a9af13d5-0db6-41ce-87ae-429c8c8e199f.ascat2.allelic_specific.seg.txt	3d7b2534ca2048db8d0801973c8f51dd	8912	released
9e65e876-7706-49d8-b2a0-93640fd069a2	170d6409-f0b3-4c29-b74e-2677f2802963_gdc_realn_rehead.bam	47a1ef803bdad31746f92c0bcfbf4b8e	9469418517	released
5f27f566-70d2-446a-bf1a-d02aaa31289b	TCGA-A3-3387-11A-01D-1534-10_Illumina_gdc_realn.bam	94d2d4fafb4e6276f5da9009d11858b9	30412230725	released
31979e3c-4f1e-4982-9044-fdefe55ff344	196153b4-7dd9-4d33-aa59-c2170b832880.mirbase21.isoforms.quantification.txt	0e712c530a3f19cb77479c3985fbd9e5	268370	released
c16a0be2-2c14-4f8d-83f6-6daa7cdcf5eb	586afb0b-e791-4efe-b5c9-eaac6ecce723.FPKM-UQ.txt.gz	525989bc407df2d485480943f00099ed	567024	released
410134ec-4792-4e54-b233-187e542e0e6f	2113ee53-ea3a-47a9-bc6f-0844158f6b72.FPKM.txt.gz	bd4009ab4902f1c2a96fe32c304f6a6b	553279	released
