project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	spectrophotometer_method	state	well_number
TCGA-KIRC	8a575e00-5dc5-416d-a8f5-2cdfb8e62c31	TCGA-A3-3358	c4ad7a4b-6603-4308-ace2-e633cdd21ddc	TCGA-A3-3358-01A	97e7e0e5-3b12-46ee-a9eb-ffd49ab01935	TCGA-A3-3358-01A-01	5ff6a72f-ca8e-4319-ab66-8edc1ad05d61	TCGA-A3-3358-01A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	UV Spec	released	'--
TCGA-KIRC	8a575e00-5dc5-416d-a8f5-2cdfb8e62c31	TCGA-A3-3358	c4ad7a4b-6603-4308-ace2-e633cdd21ddc	TCGA-A3-3358-01A	97e7e0e5-3b12-46ee-a9eb-ffd49ab01935	TCGA-A3-3358-01A-01	4e3e3c80-0052-4431-9f0b-ed538f90550b	TCGA-A3-3358-01A-01D	1.9	'--	'--	DNA	D	'--	0.15	'--	'--	UV Spec	released	'--
TCGA-KIRC	8a575e00-5dc5-416d-a8f5-2cdfb8e62c31	TCGA-A3-3358	c4ad7a4b-6603-4308-ace2-e633cdd21ddc	TCGA-A3-3358-01A	97e7e0e5-3b12-46ee-a9eb-ffd49ab01935	TCGA-A3-3358-01A-01	59eefad8-951b-4a2b-9112-d685fea8d3ab	TCGA-A3-3358-01A-01R	1.5	'--	'--	RNA	R	'--	0.13	'--	'--	UV Spec	released	'--
TCGA-KIRC	8a575e00-5dc5-416d-a8f5-2cdfb8e62c31	TCGA-A3-3358	a553374e-f059-41f2-8250-687845c561b5	TCGA-A3-3358-11A	86484134-5e0d-45fb-b4a9-ebb9ff092863	TCGA-A3-3358-11A-01	6076a9ec-588a-4f82-ac73-412864bc5f74	TCGA-A3-3358-11A-01D	1.9	'--	'--	DNA	D	'--	0.17	'--	'--	UV Spec	released	'--
TCGA-KIRC	8a575e00-5dc5-416d-a8f5-2cdfb8e62c31	TCGA-A3-3358	a553374e-f059-41f2-8250-687845c561b5	TCGA-A3-3358-11A	86484134-5e0d-45fb-b4a9-ebb9ff092863	TCGA-A3-3358-11A-01	50160a03-8707-468c-b644-378dcf0faa46	TCGA-A3-3358-11A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	UV Spec	released	'--
TCGA-KIRC	8a575e00-5dc5-416d-a8f5-2cdfb8e62c31	TCGA-A3-3358	a553374e-f059-41f2-8250-687845c561b5	TCGA-A3-3358-11A	86484134-5e0d-45fb-b4a9-ebb9ff092863	TCGA-A3-3358-11A-01	e7c1b86c-e5c9-42c6-af85-6c981d50e2d6	TCGA-A3-3358-11A-01R	1.8	'--	'--	RNA	R	'--	0.16	'--	'--	UV Spec	released	'--
TCGA-KIRC	1b0ad45e-b917-4e91-83c4-e5386cdf0eee	TCGA-B0-4842	fc3b3fc0-84a9-4514-9d93-37138dbf4cb2	TCGA-B0-4842-11A	53a7189d-7da1-4776-a98d-efa0880a58e1	TCGA-B0-4842-11A-01	fe38420e-b864-4466-a5bf-3adbbce5ad04	TCGA-B0-4842-11A-01D	1.9	'--	'--	DNA	D	'--	0.16	'--	'--	UV Spec	released	'--
TCGA-KIRC	1b0ad45e-b917-4e91-83c4-e5386cdf0eee	TCGA-B0-4842	fc3b3fc0-84a9-4514-9d93-37138dbf4cb2	TCGA-B0-4842-11A	53a7189d-7da1-4776-a98d-efa0880a58e1	TCGA-B0-4842-11A-01	0bcb34b7-9d96-4d7e-90ae-d783176a736b	TCGA-B0-4842-11A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	UV Spec	released	'--
TCGA-KIRC	1b0ad45e-b917-4e91-83c4-e5386cdf0eee	TCGA-B0-4842	50f4bc66-e2af-478d-9253-8370ab937d88	TCGA-B0-4842-01A	baa91f2e-b853-4717-8579-bd5443f47058	TCGA-B0-4842-01A-02	67ffdf96-f61d-4b97-905f-f2f78281afa3	TCGA-B0-4842-01A-02D	1.9	'--	'--	DNA	D	'--	0.15	'--	'--	UV Spec	released	'--
TCGA-KIRC	1b0ad45e-b917-4e91-83c4-e5386cdf0eee	TCGA-B0-4842	50f4bc66-e2af-478d-9253-8370ab937d88	TCGA-B0-4842-01A	baa91f2e-b853-4717-8579-bd5443f47058	TCGA-B0-4842-01A-02	f252f0bd-2af3-41c5-91ca-7ee380051224	TCGA-B0-4842-01A-02R	1.6	'--	'--	RNA	R	'--	0.14	'--	'--	UV Spec	released	'--
